name,kind,first_reference,source,english_equivalent,source_form,greek_form,name_meaning,equivalent_source,equivalent_confidence,footnote
Pishon,place,Genesis 2:11,ot,Pison,Pishon,Φισῶν·,changing; extension of the mouth,UKJV same-reference name-order alignment,aligned,Place-name meaning: Pison — changing; extension of the mouth. Standard English equivalent: Pison. Source form: Pishon. Greek form: Φισῶν·. Equivalent source: UKJV same-reference name-order alignment.
Gihon,place,Genesis 2:13,ot,Gihon,Gihon,Γεῶν·,valley of grace,UKJV same-reference name-order alignment,aligned,Place-name meaning: Gihon — valley of grace. Source form: Gihon. Greek form: Γεῶν·. Equivalent source: UKJV same-reference name-order alignment.
Ethiopia,place,Genesis 2:13,ot,Ethiopia,Ethiopia,Αἰθιοπίας,blackness; heat,UKJV same-reference name-order alignment,aligned,Place-name meaning: Ethiopia — blackness; heat. Source form: Ethiopia. Greek form: Αἰθιοπίας. Equivalent source: UKJV same-reference name-order alignment.
Tigris,place,Genesis 2:14,ot,Tigris,Tigris,Τίγρις·,meaning uncertain/not securely attested in the consulted name dictionaries,Logos Bible Knowledgebase alias,alias,Place-name meaning: Tigris — meaning uncertain/not securely attested in the consulted name dictionaries. Source form: Tigris. Greek form: Τίγρις·. Equivalent source: Logos Bible Knowledgebase alias.
Assyrians,people_group,Genesis 2:14,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Euphrates,place,Genesis 2:14,ot,Euphrate,Euphrates,Εὐφράτης,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Place-name meaning: Euphrate — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Euphrate. Source form: Euphrates. Greek form: Εὐφράτης. Equivalent source: UKJV same-reference name-order alignment.
Naid,place,Genesis 4:16,ot,Nod,Naid,Ναὶδ,vagabond; fugitive,UKJV same-reference name-order alignment,aligned,Place-name meaning: Nod — vagabond; fugitive. Standard English equivalent: Nod. Source form: Naid. Greek form: Ναὶδ. Equivalent source: UKJV same-reference name-order alignment.
Gaidad,person,Genesis 4:18,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ada,person,Genesis 4:19,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Iobel,person,Genesis 4:20,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Enos,person,Genesis 4:26,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Cainan,person,Genesis 5:9,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ararat,place,Genesis 8:4,ot,Ararat,Ararat,᾿Αραράτ,the curse of trembling,UKJV same-reference name-order alignment,aligned,Place-name meaning: Ararat — the curse of trembling. Source form: Ararat. Greek form: ᾿Αραράτ. Equivalent source: UKJV same-reference name-order alignment.
Madai,person,Genesis 10:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Riphath,person,Genesis 10:3,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Babylon,place,Genesis 10:10,ot,Babel,Babylon,Βαβυλὼν,confusion; mixture,UKJV same-reference name-order alignment,aligned,Place-name meaning: Babel — confusion; mixture. Standard English equivalent: Babel. Source form: Babylon. Greek form: Βαβυλὼν. Equivalent source: UKJV same-reference name-order alignment.
Nineveh,place,Genesis 10:11,ot,Nineveh,Nineveh,Νινευΐ,handsome; agreeable,UKJV same-reference name-order alignment,aligned,Place-name meaning: Nineveh — handsome; agreeable. Source form: Nineveh. Greek form: Νινευΐ. Equivalent source: UKJV same-reference name-order alignment.
Phylistieim,people_group,Genesis 10:14,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Gergesite,people_group,Genesis 10:16,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Canaanites,people_group,Genesis 10:18,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Gerara,place,Genesis 10:19,ot,Gerar,Gerara,Γεραρὰ,same as Gera,UKJV same-reference name-order alignment,aligned,Place-name meaning: Gerar — same as Gera. Standard English equivalent: Gerar. Source form: Gerara. Greek form: Γεραρὰ. Equivalent source: UKJV same-reference name-order alignment.
Gaza,place,Genesis 10:19,ot,Gaza,Gaza,Γαζάν,strong; a goat,UKJV same-reference name-order alignment,aligned,Place-name meaning: Gaza — strong; a goat. Source form: Gaza. Greek form: Γαζάν. Equivalent source: UKJV same-reference name-order alignment.
Sodom,place,Genesis 10:19,ot,Sodom,Sodom,Σοδόμων,their secret; their cement,UKJV same-reference name-order alignment,aligned,Place-name meaning: Sodom — their secret; their cement. Source form: Sodom. Greek form: Σοδόμων. Equivalent source: UKJV same-reference name-order alignment.
Gomorrah,place,Genesis 10:19,ot,Gomorrah,Gomorrah,Γομόρρας,rebellious people,UKJV same-reference name-order alignment,aligned,Place-name meaning: Gomorrah — rebellious people. Source form: Gomorrah. Greek form: Γομόρρας. Equivalent source: UKJV same-reference name-order alignment.
Dasa,place,Genesis 10:19,ot,Lasha,Dasa,Δασά,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Place-name meaning: Lasha — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Lasha. Source form: Dasa. Greek form: Δασά. Equivalent source: UKJV same-reference name-order alignment.
Arphaxad,person,Genesis 10:22,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Aram,place,Genesis 10:22,ot,Ram,Aram,᾿Αρὰμ,elevated; sublime,UKJV same-reference name-order alignment,aligned,Place-name meaning: Ram — elevated; sublime. Standard English equivalent: Ram. Source form: Aram. Greek form: ᾿Αρὰμ. Equivalent source: UKJV same-reference name-order alignment.
Sala,person,Genesis 10:24,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Abimael,person,Genesis 10:27,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jobab,person,Genesis 10:28,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Masse,place,Genesis 10:30,ot,Massa,Masse,Μασσῆ,a burden; prophecy,UKJV same-reference name-order alignment,aligned,Place-name meaning: Massa — a burden; prophecy. Standard English equivalent: Massa. Source form: Masse. Greek form: Μασσῆ. Equivalent source: UKJV same-reference name-order alignment.
Chaldeans,people_group,Genesis 11:28,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Sychem,transliterated_form,Genesis 12:6,ot,Shechem,Sychem,Συχέμ,part; portion; back early in the morning,manual/standard English equivalent,manual,Standard English equivalent: Shechem. Source form: Sychem. Greek form: Συχέμ. Name meaning: part; portion; back early in the morning. Equivalent source: manual/standard English equivalent.
Egyptians,people_group,Genesis 12:12,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Perizzites,people_group,Genesis 13:7,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Jordan,place,Genesis 13:10,ot,Jordan,Jordan,᾿Ιορδάνου,the river of judgment,UKJV same-reference name-order alignment,aligned,Place-name meaning: Jordan — the river of judgment. Source form: Jordan. Greek form: ᾿Ιορδάνου. Equivalent source: UKJV same-reference name-order alignment.
Zoar,place,Genesis 13:10,ot,Zoar,Zoar,Ζόγορα,little; small,UKJV same-reference name-order alignment,aligned,Place-name meaning: Zoar — little; small. Source form: Zoar. Greek form: Ζόγορα. Equivalent source: UKJV same-reference name-order alignment.
Arioch,person,Genesis 14:1,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ellasar,place,Genesis 14:1,ot,Ellasar,Ellasar,᾿Ελλασάρ,revolting from God,UKJV same-reference name-order alignment,aligned,Place-name meaning: Ellasar — revolting from God. Source form: Ellasar. Greek form: ᾿Ελλασάρ. Equivalent source: UKJV same-reference name-order alignment.
Balak,person,Genesis 14:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Astaroth,place,Genesis 14:5,ot,Ashtaroth,Astaroth,᾿Ασταρὼθ,"Ashtoreth, flocks; sheep; riches",UKJV same-reference name-order alignment,aligned,"Place-name meaning: Ashtaroth — Ashtoreth, flocks; sheep; riches. Standard English equivalent: Ashtaroth. Source form: Astaroth. Greek form: ᾿Ασταρὼθ. Equivalent source: UKJV same-reference name-order alignment."
Karnaim,place,Genesis 14:5,ot,Karnaim,Karnaim,Καρναΐν,horns,UKJV same-reference witness,1.00,Place-name meaning: Karnaim — horns. Source form: Karnaim. Greek form: Καρναΐν. Equivalent source: UKJV same-reference witness.
Ommaeans,people_group,Genesis 14:5,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Seir,person,Genesis 14:6,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Amalek,person,Genesis 14:7,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Amorites,people_group,Genesis 14:7,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Hebrew,person,Genesis 14:13,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Amorite,people_group,Genesis 14:13,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Choba,place,Genesis 14:15,ot,Hobah,Choba,Χοβά,love; friendship; secrecy,UKJV same-reference name-order alignment,aligned,Place-name meaning: Hobah — love; friendship; secrecy. Standard English equivalent: Hobah. Source form: Choba. Greek form: Χοβά. Equivalent source: UKJV same-reference name-order alignment.
Damascus,place,Genesis 14:15,ot,Damascu,Damascus,Δαμασκοῦ,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Place-name meaning: Damascu — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Damascu. Source form: Damascus. Greek form: Δαμασκοῦ. Equivalent source: UKJV same-reference name-order alignment.
Salem,place,Genesis 14:18,ot,Shallum,Salem,Σαλὴμ,perfect; agreeable,UKJV same-reference name-order alignment,aligned,Place-name meaning: Shallum — perfect; agreeable. Standard English equivalent: Shallum. Source form: Salem. Greek form: Σαλὴμ. Equivalent source: UKJV same-reference name-order alignment.
Eliezer,person,Genesis 15:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Kenites,people_group,Genesis 15:19,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Hittites,people_group,Genesis 15:20,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Hivites,people_group,Genesis 15:21,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Jebusites,people_group,Genesis 15:21,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Egyptian,people_group,Genesis 16:1,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Shur,place,Genesis 16:7,ot,Shur,Shur,Σούρ,wall; ox; that beholds,UKJV same-reference name-order alignment,aligned,Place-name meaning: Shur — wall; ox; that beholds. Source form: Shur. Greek form: Σούρ. Equivalent source: UKJV same-reference name-order alignment.
Kadesh,transliterated_form,Genesis 16:14,ot,Kadesh,Kadesh,Κάδης,holiness,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Kadesh. Source form: Kadesh. Greek form: Κάδης. Name meaning: holiness. Equivalent source: UKJV same-reference name-order alignment.
Barad,place,Genesis 16:14,ot,Bedad,Barad,Βαράδ,alone; solitary,UKJV same-reference name-order alignment,aligned,Place-name meaning: Bedad — alone; solitary. Standard English equivalent: Bedad. Source form: Barad. Greek form: Βαράδ. Equivalent source: UKJV same-reference name-order alignment.
Moab,place,Genesis 19:37,ot,Moab,Moab,Μωὰβ,of his father,UKJV same-reference name-order alignment,aligned,Place-name meaning: Moab — of his father. Source form: Moab. Greek form: Μωὰβ. Equivalent source: UKJV same-reference name-order alignment.
Moabites,people_group,Genesis 19:37,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Amman,place,Genesis 19:38,ot,Benammi,Amman,᾿Αμμάν,son of my people,UKJV same-reference name-order alignment,aligned,Place-name meaning: Benammi — son of my people. Standard English equivalent: Benammi. Source form: Amman. Greek form: ᾿Αμμάν. Equivalent source: UKJV same-reference name-order alignment.
Philistines,people_group,Genesis 21:32,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Uz,place,Genesis 22:21,ot,Huz,Uz,Οὒζ,counsel; woods; fastened,UKJV same-reference name-order alignment,aligned,Place-name meaning: Huz — counsel; woods; fastened. Standard English equivalent: Huz. Source form: Uz. Greek form: Οὒζ. Equivalent source: UKJV same-reference name-order alignment.
Syrians,people_group,Genesis 22:21,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Bathouel,person,Genesis 22:22,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Rebecca,person,Genesis 22:23,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Tabek,person,Genesis 22:24,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Tochos,person,Genesis 22:24,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Heth,person,Genesis 23:3,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ephron,place,Genesis 23:8,ot,Ephron,Ephron,᾿Εφρὼν,dust,UKJV same-reference name-order alignment,aligned,Place-name meaning: Ephron — dust. Source form: Ephron. Greek form: ᾿Εφρὼν. Equivalent source: UKJV same-reference name-order alignment.
Hittite,people_group,Genesis 23:10,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Put,person,Genesis 24:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Mesopotamia,place,Genesis 24:10,ot,Mesopotamia,Mesopotamia,Μεσοποταμίαν,between two rivers,UKJV same-reference name-order alignment,aligned,Place-name meaning: Mesopotamia — between two rivers. Source form: Mesopotamia. Greek form: Μεσοποταμίαν. Equivalent source: UKJV same-reference name-order alignment.
Milcah,person,Genesis 24:15,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Thaiman,transliterated_form,Genesis 25:3,ot,Teman,Thaiman,Θαιμὰν,"Temani, the south; Africa; perfect",manual/standard English equivalent,manual,"Standard English equivalent: Teman. Source form: Thaiman. Greek form: Θαιμὰν. Name meaning: Temani, the south; Africa; perfect. Equivalent source: manual/standard English equivalent."
Nabaioth,place,Genesis 25:13,ot,Nebajoth,Nabaioth,Ναβαιώθ,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Place-name meaning: Nebajoth — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Nebajoth. Source form: Nabaioth. Greek form: Ναβαιώθ. Equivalent source: UKJV same-reference name-order alignment.
Syrian,person,Genesis 25:20,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Syria,place,Genesis 25:20,ot,Syrian,Syria,Συρίας,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Place-name meaning: Syrian — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Syrian. Source form: Syria. Greek form: Συρίας. Equivalent source: UKJV same-reference name-order alignment.
Edom,place,Genesis 25:30,ot,Edom,Edom,᾿Εδώμ,"red, earthy; of blood",UKJV same-reference name-order alignment,aligned,"Place-name meaning: Edom — red, earthy; of blood. Source form: Edom. Greek form: ᾿Εδώμ. Equivalent source: UKJV same-reference name-order alignment."
Gerar,place,Genesis 26:17,ot,Gerar,Gerar,Γεράρων,same as Gera,UKJV same-reference name-order alignment,aligned,Place-name meaning: Gerar — same as Gera. Source form: Gerar. Greek form: Γεράρων. Equivalent source: UKJV same-reference name-order alignment.
Judith,person,Genesis 26:34,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Basemath,person,Genesis 26:34,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Helon,person,Genesis 26:34,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Dinah,person,Genesis 30:21,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jabbok,place,Genesis 32:22,ot,Jabbok,Jabbok,᾿Ιαβώκ·,evacuation; dissipation; wrestling,UKJV same-reference name-order alignment,aligned,Place-name meaning: Jabbok — evacuation; dissipation; wrestling. Source form: Jabbok. Greek form: ᾿Ιαβώκ·. Equivalent source: UKJV same-reference name-order alignment.
Hivite,people_group,Genesis 34:2,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Deborah,person,Genesis 35:8,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ephratha,place,Genesis 35:16,ot,Ephrathah,Ephratha,᾿Εφραθᾶ,"Ephrath, abundance; bearing fruit",manual/standard English equivalent,manual,"Place-name meaning: Ephrathah — Ephrath, abundance; bearing fruit. Standard English equivalent: Ephrathah. Source form: Ephratha. Greek form: ᾿Εφραθᾶ. Equivalent source: manual/standard English equivalent."
Bethlehem,place,Genesis 35:19,ot,Bethlehem,Bethlehem,Βηθλεέμ,house of bread,manual/standard English equivalent,manual,Place-name meaning: Bethlehem — house of bread. Source form: Bethlehem. Greek form: Βηθλεέμ. Equivalent source: manual/standard English equivalent.
Ailon,place,Genesis 36:2,ot,Elon,Ailon,Αἰλὼμ,oak; grove; strong,UKJV same-reference name-order alignment,aligned,Place-name meaning: Elon — oak; grove; strong. Standard English equivalent: Elon. Source form: Ailon. Greek form: Αἰλὼμ. Equivalent source: UKJV same-reference name-order alignment.
Ana,transliterated_form,Genesis 36:2,ot,Anah,Ana,᾿Ανὰ,one who answers; afflicted,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Anah. Source form: Ana. Greek form: ᾿Ανὰ. Name meaning: one who answers; afflicted. Equivalent source: UKJV same-reference name-order alignment.
Eliphas,transliterated_form,Genesis 36:4,ot,Eliphaz,Eliphas,῾Ελιφάς,the endeavor of God,manual/standard English equivalent,manual,Standard English equivalent: Eliphaz. Source form: Eliphas. Greek form: ῾Ελιφάς. Name meaning: the endeavor of God. Equivalent source: manual/standard English equivalent.
Kore,person,Genesis 36:5,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Omar,person,Genesis 36:11,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Sophar,place,Genesis 36:11,ot,Shepho,Sophar,Σωφάρ,desert,UKJV same-reference name-order alignment,aligned,Place-name meaning: Shepho — desert. Standard English equivalent: Shepho. Source form: Sophar. Greek form: Σωφάρ. Equivalent source: UKJV same-reference name-order alignment.
Idumea,place,Genesis 36:16,ot,Idumea,Idumea,᾿Ιδουμαίᾳ·,red; earthy; bloody,UKJV same-reference name-order alignment,aligned,Place-name meaning: Idumea — red; earthy; bloody. Source form: Idumea. Greek form: ᾿Ιδουμαίᾳ·. Equivalent source: UKJV same-reference name-order alignment.
Lotan,person,Genesis 36:20,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Sobal,place,Genesis 36:20,ot,Shobal,Sobal,Σωβάλ,path; ear of corn,UKJV same-reference name-order alignment,aligned,Place-name meaning: Shobal — path; ear of corn. Standard English equivalent: Shobal. Source form: Sobal. Greek form: Σωβάλ. Equivalent source: UKJV same-reference name-order alignment.
Ithran,person,Genesis 36:26,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Aran,person,Genesis 36:28,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Asom,person,Genesis 36:34,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Masekka,place,Genesis 36:36,ot,Masrekah,Masekka,Μασεκκᾶς,whistling; hissing,UKJV same-reference name-order alignment,aligned,Place-name meaning: Masrekah — whistling; hissing. Standard English equivalent: Masrekah. Source form: Masekka. Greek form: Μασεκκᾶς. Equivalent source: UKJV same-reference name-order alignment.
Rooboth,place,Genesis 36:37,ot,Rehoboth,Rooboth,Ροωβὼθ,spaces; places,UKJV same-reference name-order alignment,aligned,Place-name meaning: Rehoboth — spaces; places. Standard English equivalent: Rehoboth. Source form: Rooboth. Greek form: Ροωβὼθ. Equivalent source: UKJV same-reference name-order alignment.
Phogor,place,Genesis 36:39,ot,Peor,Phogor,Φογώρ,hole; opening,UKJV same-reference name-order alignment,aligned,Place-name meaning: Peor — hole; opening. Standard English equivalent: Peor. Source form: Phogor. Greek form: Φογώρ. Equivalent source: UKJV same-reference name-order alignment.
Maizoob,person,Genesis 36:39,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jether,person,Genesis 36:40,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Zilpah,person,Genesis 37:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ishmaelite,people_group,Genesis 37:25,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Ishmaelites,people_group,Genesis 37:27,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Midianite,people_group,Genesis 37:28,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Midianites,people_group,Genesis 37:36,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Potiphar,person,Genesis 37:36,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Adullamite,people_group,Genesis 38:1,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Hirah,person,Genesis 38:1,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Canaanite,people_group,Genesis 38:2,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Shua,person,Genesis 38:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Er,person,Genesis 38:3,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Onan,person,Genesis 38:4,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Shelah,person,Genesis 38:5,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Enaim,place,Genesis 38:14,ot,Enaim,Enaim,ἐν,meaning uncertain/not securely attested in the consulted name dictionaries,Logos Bible Knowledgebase alias,alias,Place-name meaning: Enaim — meaning uncertain/not securely attested in the consulted name dictionaries. Source form: Enaim. Greek form: ἐν. Equivalent source: Logos Bible Knowledgebase alias.
Perez,person,Genesis 38:29,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Zerah,person,Genesis 38:30,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Hebrews,people_group,Genesis 40:15,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Arabia,place,Genesis 45:10,ot,Arabia,Arabia,᾿Αραβίας,evening; desert; ravens,UKJV same-reference name-order alignment,aligned,Place-name meaning: Arabia — evening; desert; ravens. Source form: Arabia. Greek form: ᾿Αραβίας. Equivalent source: UKJV same-reference name-order alignment.
Jemuel,person,Genesis 46:10,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jamin,person,Genesis 46:10,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jachin,person,Genesis 46:10,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Merari,person,Genesis 46:11,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Selom,person,Genesis 46:12,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Phares,transliterated_form,Genesis 46:12,ot,Perez,Phares,Φαρὲς,divided,manual/standard English equivalent,manual,Standard English equivalent: Perez. Source form: Phares. Greek form: Φαρὲς. Name meaning: divided. Equivalent source: manual/standard English equivalent.
Zara,transliterated_form,Genesis 46:12,ot,Zerah,Zara,Ζαρά·,same as Zarah,manual/standard English equivalent,manual,Standard English equivalent: Zerah. Source form: Zara. Greek form: Ζαρά·. Name meaning: same as Zarah. Equivalent source: manual/standard English equivalent.
Sered,person,Genesis 46:14,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Allon,person,Genesis 46:14,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Machir,person,Genesis 46:20,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Galaad,transliterated_form,Genesis 46:20,ot,Gilead,Galaad,Γαλαάδ,the heap or mass of testimony,manual/standard English equivalent,manual,Standard English equivalent: Gilead. Source form: Galaad. Greek form: Γαλαάδ. Name meaning: the heap or mass of testimony. Equivalent source: manual/standard English equivalent.
Gera,person,Genesis 46:21,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Asiel,person,Genesis 46:24,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Sikima,place,Genesis 48:22,ot,Shechem,Sikima,Σίκιμα,part; portion; back early in the morning,Logos Bible Knowledgebase alias,alias,Place-name meaning: Shechem — part; portion; back early in the morning. Standard English equivalent: Shechem. Source form: Sikima. Greek form: Σίκιμα. Equivalent source: Logos Bible Knowledgebase alias.
Pithom,place,Exodus 1:11,ot,Pithom,Pithom,πιθωμ,their mouthful; a dilatation of the mouth,UKJV same-reference witness,1.00,Place-name meaning: Pithom — their mouthful; a dilatation of the mouth. Source form: Pithom. Greek form: πιθωμ. Equivalent source: UKJV same-reference witness.
Raguel,person,Exodus 2:18,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Horeb,place,Exodus 3:1,ot,Horeb,Horeb,χωρηβ,desert; solitude; destruction,UKJV same-reference name-order alignment,aligned,Place-name meaning: Horeb — desert; solitude; destruction. Source form: Horeb. Greek form: χωρηβ. Equivalent source: UKJV same-reference name-order alignment.
Girgashites,people_group,Exodus 3:8,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Levite,people_group,Exodus 4:14,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Semei,person,Exodus 6:17,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
